customer_id,age,gender,city,state,income_level,join_date
1,60,Female,Nagpur,Gujarat,Premium,2026-04-03
2,40,Male,Rajahmundry,Rajasthan,Medium,2024-09-14
3,41,Female,Bongaigaon,Bihar,Medium,2024-02-16
4,47,Male,Patna,Maharashtra,High,2023-11-27
5,29,Female,Bellary,Uttar Pradesh,Low,2023-08-30
6,44,Female,Kishanganj,Maharashtra,Low,2024-07-10
7,33,Male,Muzaffarnagar,Uttar Pradesh,Low,2024-05-18
8,61,Female,Chennai,Maharashtra,Medium,2025-06-11
9,68,Female,Mau,Rajasthan,Low,2024-03-19
10,42,Female,Thrissur,Tamil Nadu,Low,2024-09-18
11,19,Female,Tiruchirappalli,Delhi,Medium,2024-12-18
12,25,Male,Secunderabad,Tamil Nadu,Low,2025-02-24
13,57,Female,Varanasi,Bihar,Low,2024-12-30
14,21,Male,Burhanpur,Tamil Nadu,Low,2025-06-27
15,51,Male,Tadipatri,Punjab,High,2023-11-14
16,32,Male,Coimbatore,Bihar,High,2025-01-26
17,57,Female,Ramagundam,Uttar Pradesh,Low,2023-09-24
18,41,Male,Salem,Madhya Pradesh,Medium,2023-11-15
19,58,Male,Malda,Uttar Pradesh,Medium,2025-02-24
20,26,Female,Ujjain,Uttar Pradesh,Low,2026-03-28
21,28,Male,Bhagalpur,Uttar Pradesh,Low,2025-02-09
22,22,Female,Madurai,Madhya Pradesh,High,2026-05-21
23,26,Female,Deoghar,Andhra Pradesh,Premium,2026-02-15
24,40,Female,Surendranagar Dudhrej,Karnataka,Low,2024-07-29
25,39,Female,Proddatur,Andhra Pradesh,Medium,2025-02-23
26,31,Female,Pimpri-Chinchwad,Tamil Nadu,Low,2024-06-20
27,31,Male,Satna,Madhya Pradesh,Low,2024-07-04
28,59,Male,Amritsar,West Bengal,Medium,2025-03-29
29,66,Male,Rajpur Sonarpur,Uttar Pradesh,High,2024-06-06
30,40,Female,Tenali,West Bengal,Premium,2026-04-28
31,30,Male,Asansol,West Bengal,Low,2026-04-08
32,19,Female,Shahjahanpur,Uttar Pradesh,Low,2024-08-29
33,45,Female,Bhimavaram,Uttar Pradesh,Low,2025-12-03
34,28,Male,Mirzapur,Uttar Pradesh,High,2025-05-10
35,50,Male,Danapur,Uttar Pradesh,Medium,2024-06-19
36,30,Female,Nashik,Rajasthan,Low,2025-08-19
37,26,Male,Kozhikode,Maharashtra,Medium,2024-01-01
38,41,Female,Kavali,Andhra Pradesh,Low,2026-06-06
39,58,Male,Eluru,Karnataka,Medium,2023-10-21
40,29,Male,Dehri,Maharashtra,Low,2026-01-25
41,66,Other,Raipur,West Bengal,Medium,2024-08-08
42,45,Male,Mau,Uttar Pradesh,Premium,2026-06-08
43,36,Female,Raebareli,Uttar Pradesh,Premium,2024-01-04
44,23,Male,Delhi,West Bengal,Medium,2024-03-16
45,34,Female,Guna,Andhra Pradesh,High,2024-08-27
46,23,Male,Guna,Gujarat,Medium,2023-12-27
47,26,Male,Jamnagar,Delhi,High,2026-02-15
48,37,Male,Panvel,Uttar Pradesh,Low,2025-02-14
49,36,Male,Khora ,Uttar Pradesh,High,2025-10-15
50,57,Male,Surat,Maharashtra,Premium,2024-11-29
51,45,Female,Aizawl,Bihar,Low,2024-01-04
52,59,Male,New Delhi,Uttar Pradesh,Medium,2024-07-20
53,69,Female,Guwahati,Andhra Pradesh,High,2025-12-12
