warehouse_id,product_id,stock_quantity,reorder_level
WH_WEST,1,284,93
WH_NORTH,1,881,116
WH_SOUTH,1,968,167
WH_EAST,1,598,69
WH_WEST,2,752,163
WH_NORTH,2,882,82
WH_SOUTH,2,915,173
WH_EAST,2,744,77
WH_WEST,3,823,87
WH_NORTH,3,723,155
WH_SOUTH,3,247,105
WH_EAST,3,498,71
WH_WEST,4,466,125
WH_NORTH,4,620,187
WH_SOUTH,4,761,75
WH_EAST,4,179,171
WH_WEST,5,277,160
WH_NORTH,5,309,157
WH_SOUTH,5,111,88
WH_EAST,5,61,113
WH_WEST,6,148,168
WH_NORTH,6,894,166
WH_SOUTH,6,742,183
WH_EAST,6,145,90
WH_WEST,7,297,187
WH_NORTH,7,610,107
WH_SOUTH,7,978,63
WH_EAST,7,104,59
WH_WEST,8,572,147
WH_NORTH,8,493,112
WH_SOUTH,8,82,138
WH_EAST,8,707,125
WH_WEST,9,873,128
WH_NORTH,9,569,162
WH_SOUTH,9,801,190
WH_EAST,9,744,152
WH_WEST,10,429,66
WH_NORTH,10,909,133
WH_SOUTH,10,68,139
WH_EAST,10,367,76
WH_WEST,11,178,139
WH_NORTH,11,308,122
WH_SOUTH,11,311,150
WH_EAST,11,347,60
WH_WEST,12,197,72
WH_NORTH,12,836,147
WH_SOUTH,12,195,193
WH_EAST,12,607,150
WH_WEST,13,933,68
WH_NORTH,13,816,175
WH_SOUTH,13,469,130
WH_EAST,13,302,153
WH_WEST,14,90,92
WH_NORTH,14,543,54
WH_SOUTH,14,260,198
WH_EAST,14,119,124
WH_WEST,15,483,99
WH_NORTH,15,240,147
WH_SOUTH,15,423,146
WH_EAST,15,244,65
WH_WEST,16,560,176
WH_NORTH,16,156,168
WH_SOUTH,16,90,127
WH_EAST,16,399,179
WH_WEST,17,143,65
WH_NORTH,17,661,78
WH_SOUTH,17,412,63
WH_EAST,17,19,53
WH_WEST,18,267,114
WH_NORTH,18,267,87
WH_SOUTH,18,75,173
WH_EAST,18,653,111
WH_WEST,19,248,71
WH_NORTH,19,288,90
WH_SOUTH,19,163,145
WH_EAST,19,164,103
WH_WEST,20,451,106
WH_NORTH,20,792,114
WH_SOUTH,20,848,85
WH_EAST,20,46,158
WH_WEST,21,35,98
WH_NORTH,21,473,52
WH_SOUTH,21,133,198
WH_EAST,21,216,123
WH_WEST,22,909,195
WH_NORTH,22,527,171
WH_SOUTH,22,717,105
WH_EAST,22,433,127
WH_WEST,23,153,64
WH_NORTH,23,424,133
WH_SOUTH,23,835,80
WH_EAST,23,926,126
WH_WEST,24,254,51
WH_NORTH,24,846,127
WH_SOUTH,24,236,51
WH_EAST,24,615,178
WH_WEST,25,170,140
WH_NORTH,25,901,130
WH_SOUTH,25,160,89
WH_EAST,25,602,195
WH_WEST,26,472,100
WH_NORTH,26,895,154
WH_SOUTH,26,821,100
WH_EAST,26,898,59
WH_WEST,27,507,157
WH_NORTH,27,956,146
WH_SOUTH,27,153,140
WH_EAST,27,866,155
WH_WEST,28,287,139
WH_NORTH,28,318,75
WH_SOUTH,28,983,135
WH_EAST,28,8,88
WH_WEST,29,781,168
WH_NORTH,29,128,153
WH_SOUTH,29,890,86
WH_EAST,29,326,165
WH_WEST,30,293,152
WH_NORTH,30,15,139
WH_SOUTH,30,607,109
WH_EAST,30,732,188
WH_WEST,31,944,159
WH_NORTH,31,124,93
WH_SOUTH,31,352,199
WH_EAST,31,646,91
WH_WEST,32,30,126
WH_NORTH,32,335,135
WH_SOUTH,32,761,60
WH_EAST,32,494,80
WH_WEST,33,314,191
WH_NORTH,33,788,191
WH_SOUTH,33,252,112
WH_EAST,33,804,191
WH_WEST,34,346,78
WH_NORTH,34,929,60
WH_SOUTH,34,433,102
WH_EAST,34,968,61
WH_WEST,35,881,99
WH_NORTH,35,768,64
WH_SOUTH,35,897,99
WH_EAST,35,271,192
WH_WEST,36,840,72
WH_NORTH,36,824,102
WH_SOUTH,36,698,88
WH_EAST,36,650,199
WH_WEST,37,904,150
WH_NORTH,37,490,95
WH_SOUTH,37,884,179
WH_EAST,37,54,64
WH_WEST,38,885,136
WH_NORTH,38,652,83
WH_SOUTH,38,586,104
WH_EAST,38,249,152
WH_WEST,39,938,97
WH_NORTH,39,288,75
WH_SOUTH,39,226,82
WH_EAST,39,887,56
WH_WEST,40,837,81
WH_NORTH,40,399,74
WH_SOUTH,40,131,141
WH_EAST,40,468,77
WH_WEST,41,349,51
WH_NORTH,41,117,127
WH_SOUTH,41,522,197
WH_EAST,41,117,184
WH_WEST,42,236,157
WH_NORTH,42,718,137
WH_SOUTH,42,560,141
WH_EAST,42,8,94
WH_WEST,43,948,89
WH_NORTH,43,612,109
WH_SOUTH,43,351,139
WH_EAST,43,98,63
WH_WEST,44,403,64
WH_NORTH,44,451,51
WH_SOUTH,44,181,114
WH_EAST,44,612,123
WH_WEST,45,61,67
WH_NORTH,45,207,158
WH_SOUTH,45,328,186
WH_EAST,45,395,52
WH_WEST,46,396,124
WH_NORTH,46,118,138
WH_SOUTH,46,67,91
WH_EAST,46,978,172
WH_WEST,47,272,141
WH_NORTH,47,594,107
WH_SOUTH,47,855,97
WH_EAST,47,933,61
WH_WEST,48,383,122
WH_NORTH,48,477,72
WH_SOUTH,48,698,160
WH_EAST,48,907,87
WH_WEST,49,679,193
