product_id,name,category,sub_category,price,brand
1,Wable-Lata Wall Art Pro,Home,Decor,8771.02,Wable-Lata
2,Kakar-Deshpande Premium Belt,Electronics,Accessories,55858.21,Kakar-Deshpande
3,Choudhary Bedsheet Set X,Home,Bedding,14439.66,"Choudhary, Barad and Soni"
4,Taneja Microwave Max,Home,Kitchen,13771.0,Taneja and Sons
5,Chopra Premium T-Shirt,Fashion,Kids,2349.95,Chopra and Sons
6,Saini Building Blocks Elite,Fashion,Kids,3019.43,"Saini, Swamy and Goel"
7,Dara-Kapoor Microwave Lite,Home,Kitchen,2386.34,Dara-Kapoor
8,Kalla Premium Blush,Beauty,Makeup,2473.9,"Kalla, Walia and Khosla"
9,Bala Premium Cookies,Grocery,Snacks,234.8,Bala Ltd
10,Mahal-Garg Wireless Earbuds Ultra,Electronics,Audio,84569.85,Mahal-Garg
11,Chahal Premium Sandals,Fashion,Footwear,3958.53,"Chahal, Barad and Rao"
12,Wali-Sharaf Premium Oats,Grocery,Staples,908.23,Wali-Sharaf
13,Singh-Garde Premium Wardrobe,Home,Furniture,11573.47,Singh-Garde
14,Ramesh Premium Jacket,Fashion,Men,2968.54,"Ramesh, Kadakia and Mahajan"
15,Biswas Shampoo Premium,Beauty,Haircare,2730.09,Biswas LLC
16,Batra Chromebook Max,Electronics,Laptops,75322.21,Batra and Sons
17,Salvi Oats X,Grocery,Staples,707.74,"Salvi, Wable and Baral"
18,Gokhale Premium Pillow Covers,Home,Bedding,7912.39,Gokhale LLC
19,Krishna Chips Pro,Grocery,Snacks,992.8,"Krishna, Rana and Lad"
20,Shah Keyboard Plus,Fashion,Accessories,308.21,Shah PLC
21,Sankaran Premium Mirror,Home,Decor,5324.58,Sankaran and Sons
22,Khare Garbage Bags X,Grocery,Household,500.92,Khare PLC
23,Deol Premium Ultrabook,Electronics,Laptops,21854.84,Deol Inc
24,Soni Slippers Plus,Fashion,Footwear,321.9,Soni LLC
25,Anne-Saini Premium MacBook,Electronics,Laptops,12279.65,Anne-Saini
26,Kar-Zacharia Power Bank Ultra,Electronics,Accessories,50649.13,Kar-Zacharia
27,Karnik Premium Moisturizer,Beauty,Skincare,2157.41,Karnik Group
28,Sarraf Sandals X,Fashion,Footwear,3280.51,"Sarraf, Sandal and Setty"
29,Sachdev Premium Moisturizer,Beauty,Skincare,2451.98,"Sachdev, Taneja and Sabharwal"
30,Trivedi T-Shirt Lite,Fashion,Kids,1797.33,Trivedi LLC
31,Yadav-Sawhney Premium Bed Frame,Home,Furniture,9863.52,Yadav-Sawhney
32,Doctor-Shah Moisturizer V2,Beauty,Skincare,854.98,Doctor-Shah
33,Gaba-Sachdeva Cap Lite,Fashion,Accessories,3818.3,Gaba-Sachdeva
