return_id,order_id,reason
1,143888,Defective
2,171451,Defective
3,135281,Size Issue
4,127902,Size Issue
5,42909,Changed Mind
6,7090,Changed Mind
7,32977,Arrived Late
8,120994,Changed Mind
9,162893,Defective
10,20614,Defective
11,15592,Changed Mind
12,60049,Changed Mind
13,133541,Changed Mind
14,41343,Arrived Late
15,158687,Wrong Item
16,184178,Changed Mind
17,45705,Defective
18,36080,Wrong Item
19,131001,Size Issue
20,35259,Arrived Late
21,159179,Wrong Item
22,40256,Defective
23,279,Wrong Item
24,27931,Changed Mind
25,155345,Wrong Item
26,131680,Arrived Late
27,103130,Size Issue
28,120235,Changed Mind
29,182014,Defective
30,21110,Defective
31,67557,Arrived Late
32,80157,Wrong Item
33,99293,Arrived Late
34,16421,Size Issue
35,113828,Arrived Late
36,51819,Wrong Item
37,24006,Wrong Item
38,53476,Wrong Item
39,114609,Defective
40,60813,Changed Mind
41,137954,Defective
42,41445,Arrived Late
43,37539,Size Issue
44,51833,Changed Mind
45,36432,Wrong Item
46,20973,Wrong Item
47,177032,Wrong Item
48,122958,Defective
49,87303,Wrong Item
50,194165,Changed Mind
51,68344,Defective
52,53693,Arrived Late
53,153608,Defective
54,113093,Defective
55,123100,Wrong Item
56,303,Defective
57,11864,Arrived Late
58,135666,Changed Mind
59,78257,Changed Mind
60,183087,Defective
61,42998,Size Issue
62,78063,Defective
63,45792,Defective
64,75032,Defective
65,12762,Wrong Item
66,87836,Arrived Late
67,107068,Defective
68,2542,Wrong Item
69,198304,Size Issue
70,100490,Arrived Late
71,45738,Changed Mind
72,156686,Arrived Late
73,56691,Changed Mind
74,187635,Defective
75,33238,Changed Mind
76,136219,Defective
77,163128,Wrong Item
78,189777,Arrived Late
79,178585,Defective
80,176264,Size Issue
81,35382,Size Issue
82,183554,Wrong Item
83,174565,Defective
84,138930,Arrived Late
85,6224,Arrived Late
86,113152,Size Issue
87,123787,Defective
88,197703,Size Issue
89,192803,Defective
90,34915,Arrived Late
91,123740,Changed Mind
92,6561,Wrong Item
93,19472,Changed Mind
94,5736,Changed Mind
95,113993,Arrived Late
96,184113,Size Issue
97,139969,Wrong Item
98,19593,Size Issue
99,88237,Size Issue
100,59975,Size Issue
101,125790,Size Issue
102,37911,Changed Mind
103,93920,Wrong Item
104,28797,Arrived Late
105,86613,Wrong Item
106,130681,Arrived Late
107,50660,Changed Mind
108,112935,Defective
109,21136,Arrived Late
110,36741,Changed Mind
111,38466,Arrived Late
112,132610,Arrived Late
113,101071,Defective
114,131873,Size Issue
115,14294,Defective
116,164962,Defective
117,190689,Defective
118,38247,Changed Mind
119,92499,Size Issue
120,129275,Arrived Late
121,106640,Size Issue
122,4008,Changed Mind
123,33808,Arrived Late
124,189811,Changed Mind
125,146222,Changed Mind
126,50812,Wrong Item
127,40593,Defective
128,48395,Wrong Item
129,4999,Defective
130,9581,Defective
131,102358,Wrong Item
132,190153,Arrived Late
133,25092,Changed Mind
134,36959,Wrong Item
135,161765,Wrong Item
136,198164,Wrong Item
137,156130,Arrived Late
138,3810,Wrong Item
139,155236,Arrived Late
140,116960,Wrong Item
141,122466,Arrived Late
