state,population,literacy_rate,per_capita_income
Maharashtra,112374333,82.34,202000
Uttar Pradesh,199812341,67.68,65431
Karnataka,61095297,75.36,222623
Gujarat,60439692,78.03,213936
Tamil Nadu,72147030,80.09,225106
West Bengal,91276115,76.26,115748
Rajasthan,68548437,66.11,118159
Andhra Pradesh,49577103,67.02,170215
Madhya Pradesh,72626809,69.32,104615
Kerala,33406061,94.0,205067
Delhi,16787941,86.21,376221
Haryana,25351462,75.55,247628
Bihar,104099452,61.8,46292
Punjab,27743338,75.84,161083
Assam,31205576,72.19,86801
