state,city,total_revenue,order_count,aov
Bihar,Adoni,4211646.41,72,58495.08902777778
Bihar,Agartala,1618171.22,33,49035.491515151516
Bihar,Agra,1777703.67,54,32920.43833333333
Bihar,Ahmedabad,2473883.81,61,40555.47229508197
Bihar,Ahmednagar,3990337.89,63,63338.69666666667
Bihar,Aizawl,9908521.52,158,62712.16151898734
Bihar,Ajmer,4896830.92,81,60454.70271604938
Bihar,Akola,344289.52999999997,12,28690.794166666663
Bihar,Alappuzha,4298184.22,71,60537.80591549295
Bihar,Aligarh,5843459.65,82,71261.70304878049
Bihar,Allahabad,1931339.09,46,41985.63239130435
Bihar,Alwar,4886048.81,65,75169.98169230769
Bihar,Amaravati,2749227.15,56,49093.34196428571
Bihar,Ambala,3776038.81,73,51726.55904109589
Bihar,Ambarnath,2958984.78,46,64325.75608695652
Bihar,Ambattur,4228147.24,87,48599.39356321839
Bihar,Amravati,2448808.14,59,41505.22271186441
Bihar,Amritsar,6418873.36,129,49758.70821705426
Bihar,Amroha,3595676.34,62,57994.779677419356
Bihar,Anand,2175382.92,50,43507.6584
Bihar,Anantapur,1807369.8699999999,42,43032.61595238095
Bihar,Anantapuram,1647399.06,42,39223.787142857145
Bihar,Arrah,5474380.96,105,52136.96152380952
Bihar,Asansol,3558026.42,59,60305.53254237288
Bihar,Aurangabad,4840568.77,96,50422.59135416666
Bihar,Avadi,4234810.28,49,86424.69959183675
Bihar,Bahraich,5775511.82,125,46204.094560000005
Bihar,Ballia,1685920.41,24,70246.68375
Bihar,Bally,4072336.16,112,36360.14428571429
Bihar,Bangalore,3702943.85,65,56968.36692307692
Bihar,Baranagar,3127166.7199999997,52,60137.82153846153
Bihar,Barasat,3334078.77,40,83351.96925
Bihar,Bardhaman,4454964.78,66,67499.46636363637
Bihar,Bareilly,3616132.6,66,54789.88787878788
Bihar,Bathinda,5326432.97,87,61223.36747126436
Bihar,Begusarai,3607260.5,77,46847.53896103896
Bihar,Belgaum,3668839.57,89,41222.91651685393
Bihar,Bellary,5013783.88,122,41096.589180327865
Bihar,Berhampore,6584574.2,116,56763.57068965517
Bihar,Berhampur,5344577.01,92,58093.228369565215
Bihar,Bettiah,3289605.96,59,55756.033220338984
Bihar,Bhagalpur,3684224.78,81,45484.25654320987
Bihar,Bhalswa Jahangir Pur,968067.54,32,30252.110625
Bihar,Bharatpur,5964452.2,109,54719.744954128444
Bihar,Bhatpara,3023335.27,53,57044.061698113204
Bihar,Bhavnagar,2495847.43,63,39616.62587301587
Bihar,Bhilai,3315874.9899999998,73,45422.94506849315
Bihar,Bhilwara,3549606.82,58,61200.11758620689
Bihar,Bhimavaram,3187643.16,59,54027.850169491525
Bihar,Bhind,1804413.86,36,50122.60722222223
Bihar,Bhiwandi,4468609.83,86,51960.579418604655
Bihar,Bhiwani,1755674.26,62,28317.32677419355
Bihar,Bhopal,1940926.76,55,35289.577454545455
Bihar,Bhubaneswar,7147300.42,90,79414.44911111111
Bihar,Bhusawal,3413148.5300000003,70,48759.26471428572
Bihar,Bidar,2665208.4299999997,52,51254.00826923076
Bihar,Bidhannagar,4119807.3600000003,79,52149.46025316456
Bihar,Bihar Sharif,5371643.8100000005,90,59684.93122222223
Bihar,Bijapur,1935806.92,36,53772.41444444444
Bihar,Bikaner,4297962.7299999995,60,71632.71216666666
Bihar,Bilaspur,2528344.23,51,49575.37705882353
Bihar,Bokaro,2663466.74,63,42277.24984126985
Bihar,Bongaigaon,3955060.04,84,47084.0480952381
Bihar,Bulandshahr,4835814.08,105,46055.37219047619
Bihar,Burhanpur,3264651.62,74,44116.913783783784
Bihar,Buxar,2161136.39,65,33248.25215384616
Bihar,Chandigarh,4114870.82,70,58783.86885714286
Bihar,Chandrapur,1295454.25,42,30844.14880952381
Bihar,Chapra,3473093.19,67,51837.21179104478
Bihar,Chennai,3604300.23,86,41910.46779069767
Bihar,Chinsurah,8348042.16,138,60493.05913043478
Bihar,Chittoor,2698941.93,57,47349.85842105263
Bihar,Coimbatore,4018261.4299999997,54,74412.24870370369
Bihar,Cuttack,6461943.62,104,62134.07326923077
Bihar,Danapur,1771141.98,32,55348.186875
Bihar,Darbhanga,8500850.73,107,79447.20308411216
Bihar,Davanagere,3915455.59,62,63152.50951612903
Bihar,Dehradun,1406255.4700000002,18,78125.3038888889
Bihar,Dehri,4133049.65,66,62621.96439393939
Bihar,Delhi,3772789.92,90,41919.888
Bihar,Deoghar,4594748.36,85,54055.86305882353
Bihar,Dewas,3540431.98,73,48499.06821917808
Bihar,Dhanbad,1631092.05,30,54369.735
Bihar,Dharmavaram,4110518.96,68,60448.80823529412
Bihar,Dhule,6258081.41,94,66575.33414893618
Bihar,Dibrugarh,1492721.15,47,31760.024468085103
Bihar,Dindigul,3708803.51,93,39879.6076344086
Bihar,Durg,6485499.71,108,60050.92324074074
Bihar,Durgapur,3111626.71,55,56575.03109090909
Bihar,Eluru,4179399.6,69,60571.00869565218
Bihar,Erode,3264179.58,52,62772.684230769235
Bihar,Etawah,4307494.75,94,45824.41223404255
Bihar,Faridabad,2137395.11,52,41103.75211538461
Bihar,Farrukhabad,3170548.13,70,45293.544714285716
Bihar,Fatehpur,2851921.0,47,60679.17021276596
Bihar,Firozabad,6014760.5,134,44886.272388059704
Bihar,Gandhidham,1486166.17,48,30961.795208333333
Bihar,Gandhinagar,4451751.11,93,47868.29150537635
Bihar,Gangtok,2453692.89,40,61342.322250000005
Bihar,Gaya,2938745.73,58,50668.02982758621
Bihar,Ghaziabad,11027828.36,209,52764.72899521531
Bihar,Giridih,1661707.29,51,32582.49588235294
Bihar,Gopalpur,1386688.63,34,40784.95970588235
Bihar,Gorakhpur,4150326.58,86,48259.61139534884
Bihar,Gudivada,3698839.0,80,46235.4875
Bihar,Gulbarga,7198136.38,140,51415.25985714285
Bihar,Guna,2609319.07,54,48320.72351851851
Bihar,Guntakal,1527346.98,28,54548.10642857143
Bihar,Guntur,4367636.17,84,51995.66869047619
Bihar,Gurgaon,3401670.48,43,79108.61581395348
Bihar,Guwahati,2235359.97,50,44707.199400000005
Bihar,Gwalior,2280128.64,66,34547.40363636364
Bihar,Hajipur,4972014.67,91,54637.52384615385
Bihar,Haldia,3888889.66,92,42270.5397826087
Bihar,Hapur,5954868.46,111,53647.4636036036
Bihar,Haridwar,2764376.37,64,43193.38078125
Bihar,Hazaribagh,2575326.84,61,42218.47278688524
Bihar,Hindupur,1136671.74,32,35520.991875
Bihar,Hospet,3057295.34,90,33969.94822222222
Bihar,Hosur,3326314.89,53,62760.6583018868
Bihar,Howrah,2247441.32,34,66101.21529411765
Bihar,Hubli–Dharwad,4619427.96,103,44848.815145631066
Bihar,Hyderabad,6040033.79,119,50756.586470588234
Bihar,Ichalkaranji,2539362.8,65,39067.119999999995
Bihar,Imphal,3664057.46,81,45235.277283950614
Bihar,Indore,4095982.09,83,49349.18180722892
Bihar,Jabalpur,3964827.66,94,42179.01765957447
Bihar,Jaipur,1607095.08,36,44641.53
Bihar,Jalandhar,4424994.91,83,53313.19168674699
Bihar,Jalgaon,3161253.31,57,55460.58438596491
Bihar,Jalna,3433180.75,82,41868.05792682927
Bihar,Jamalpur,6461637.17,123,52533.635528455285
Bihar,Jamnagar,2146171.0,61,35183.13114754098
Bihar,Jamshedpur,4583096.83,85,53918.786235294116
Bihar,Jaunpur,5573875.15,111,50215.091441441444
Bihar,Jehanabad,1869046.39,39,47924.26641025641
Bihar,Jhansi,2774223.75,56,49539.70982142857
Bihar,Jodhpur,4311306.5,73,59058.99315068493
Bihar,Jorhat,3266488.73,38,85960.2297368421
Bihar,Junagadh,4800642.59,84,57150.50702380952
Bihar,Kadapa,7609068.39,136,55949.03227941176
Bihar,Kakinada,2781443.85,41,67840.09390243902
Bihar,Kalyan-Dombivli,4617897.07,92,50194.53336956522
Bihar,Kamarhati,4065528.13,78,52122.155512820515
Bihar,Kanpur,398939.62,11,36267.23818181818
Bihar,Karaikudi,5118280.77,78,65618.98423076923
Bihar,Karawal Nagar,2937650.62,61,48158.206885245905
Bihar,Karimnagar,4707971.87,62,75935.03016129033
Bihar,Karnal,1153910.7,47,24551.2914893617
Bihar,Katihar,2120449.98,48,44176.04125
Bihar,Katni,2880480.78,48,60010.01624999999
Bihar,Kavali,3644864.22,91,40053.45296703297
Bihar,Khammam,3600104.16,80,45001.302
Bihar,Khandwa,1447223.25,14,103373.08928571429
Bihar,Kharagpur,2058039.81,42,49000.947857142855
Bihar,Khora ,2955824.55,42,70376.775
Bihar,Kirari Suleman Nagar,5718608.7,86,66495.45
Bihar,Kishanganj,6130461.98,108,56763.53685185186
Bihar,Kochi,4106365.37,74,55491.42391891892
Bihar,Kolhapur,2037297.67,43,47379.015581395346
Bihar,Kolkata,5026467.36,108,46541.36444444445
Bihar,Kollam,1662002.6099999999,34,48882.42970588235
Bihar,Korba,4350769.46,76,57246.966578947366
Bihar,Kota,2675343.55,84,31849.327976190474
Bihar,Kottayam,1381582.1099999999,44,31399.593409090907
Bihar,Kozhikode,3223727.11,61,52847.98540983607
Bihar,Kulti,5085089.13,89,57135.832921348316
Bihar,Kumbakonam,6239213.43,126,49517.5669047619
Bihar,Kurnool,4797039.92,109,44009.54055045872
Bihar,Latur,4322182.68,74,58407.87405405405
Bihar,Loni,3342259.56,80,41778.2445
Bihar,Lucknow,4235842.95,88,48134.57897727273
Bihar,Ludhiana,1436275.83,31,46331.47838709677
Bihar,Machilipatnam,5274859.45,59,89404.39745762713
Bihar,Madanapalle,3734035.63,71,52592.05112676056
Bihar,Madhyamgram,3833518.47,71,53993.217887323946
Bihar,Madurai,2482563.64,58,42802.82137931035
Bihar,Mahbubnagar,2109937.18,29,72756.45448275862
Bihar,Maheshtala,2748628.4699999997,73,37652.44479452055
Bihar,Malda,4676164.74,92,50827.87760869566
Bihar,Malegaon,2127333.56,48,44319.449166666665
Bihar,Mangalore,2939875.83,64,45935.55984375
Bihar,Mango,2269838.39,52,43650.73826923077
Bihar,Mathura,1383467.42,30,46115.58066666666
Bihar,Mau,2332010.39,60,38866.83983333334
Bihar,Medininagar,1143662.79,19,60192.77842105264
Bihar,Meerut,4409765.05,71,62109.36690140845
Bihar,Mehsana,4572689.3,86,53170.805813953484
Bihar,Mira-Bhayandar,5192892.37,114,45551.68745614035
Bihar,Miryalaguda,5966300.87,126,47351.594206349204
Bihar,Mirzapur,2257777.56,50,45155.5512
Bihar,Moradabad,7130640.72,140,50933.148
Bihar,Morbi,2406876.8,49,49119.93469387755
Bihar,Morena,2982669.02,67,44517.44805970149
Bihar,Motihari,4204102.15,91,46198.92472527473
Bihar,Mumbai,2057585.3099999998,19,108293.96368421051
Bihar,Munger,5091128.95,87,58518.723563218395
Bihar,Muzaffarnagar,4138587.8,87,47569.97471264368
Bihar,Muzaffarpur,4737617.87,101,46907.10762376238
Bihar,Mysore,2291219.18,60,38186.986333333334
Bihar,Nadiad,6110538.34,98,62352.432040816326
Bihar,Nagaon,2750708.4899999998,70,39295.835571428564
Bihar,Nagercoil,8164818.05,124,65845.30685483871
Bihar,Nagpur,1899824.72,32,59369.5225
Bihar,Naihati,6666733.71,143,46620.51545454546
Bihar,Nanded,2241631.81,50,44832.6362
Bihar,Nandyal,3183166.92,56,56842.26642857143
Bihar,Nangloi Jat,2349487.11,49,47948.71653061224
Bihar,Narasaraopet,3725663.12,62,60091.34064516129
Bihar,Nashik,4875559.7,62,78638.05967741935
Bihar,Navi Mumbai,4812759.64,79,60921.00810126582
Bihar,Nellore,4418636.42,61,72436.66262295083
Bihar,New Delhi,5766908.4799999995,90,64076.760888888886
Bihar,Nizamabad,7351618.61,127,57886.76070866142
Bihar,Noida,2006677.76,48,41805.78666666667
Bihar,North Dumdum,4043147.89,78,51835.229358974364
Bihar,Ongole,2878833.32,67,42967.661492537314
Bihar,Orai,4289946.04,108,39721.722592592596
Bihar,Ozhukarai,4019209.4899999998,68,59106.0219117647
Bihar,Pali,3702772.45,73,50722.91027397261
Bihar,Pallavaram,3451082.55,83,41579.3078313253
Bihar,Panchkula,5269425.13,116,45426.07870689655
Bihar,Panihati,2587825.66,58,44617.68379310345
Bihar,Panipat,3201600.15,62,51638.712096774194
Bihar,Panvel,2243593.39,44,50990.758863636365
Bihar,Parbhani,2639410.62,61,43269.02655737705
Bihar,Patiala,4083945.41,64,63811.64703125
Bihar,Patna,4497749.86,86,52299.41697674419
Bihar,Phagwara,4873196.47,116,42010.31439655172
Bihar,Phusro,4753449.62,94,50568.6129787234
Bihar,Pimpri-Chinchwad,977198.78,21,46533.27523809524
Bihar,Pondicherry,1051182.28,28,37542.224285714285
Bihar,Proddatur,5818404.62,105,55413.37733333334
Bihar,Pudukkottai,2145014.8,52,41250.28461538461
Bihar,Pune,3739017.59,61,61295.37032786885
Bihar,Purnia,2758050.41,54,51075.00759259259
Bihar,Raebareli,2721465.13,43,63289.88674418604
Bihar,Raichur,3334999.87,38,87763.15447368422
Bihar,Raiganj,2583234.52,53,48740.27396226415
Bihar,Raipur,2768728.11,31,89313.81
Bihar,Rajahmundry,3486018.15,62,56226.09919354838
Bihar,Rajkot,5067190.84,121,41877.61024793388
Bihar,Rajpur Sonarpur,4413654.65,59,74807.70593220339
Bihar,Ramagundam,975728.18,24,40655.340833333335
Bihar,Ramgarh,4555806.76,99,46018.2501010101
Bihar,Rampur,4258122.74,84,50691.93738095238
Bihar,Ranchi,2235688.16,54,41401.63259259259
Bihar,Ratlam,3445073.96,67,51419.01432835821
Bihar,Raurkela Industrial Township,5619777.15,101,55641.357920792085
Bihar,Rewa,1997463.2,43,46452.632558139536
Bihar,Rohtak,4610818.58,87,52997.91471264368
Bihar,Rourkela,2602338.79,47,55368.91042553192
Bihar,Sagar,5575637.46,90,61951.52733333333
Bihar,Saharanpur,4004987.97,64,62577.93703125
Bihar,Saharsa,2144542.82,48,44677.97541666666
Bihar,Salem,1881268.09,20,94063.4045
Bihar,Sambalpur,2954515.79,56,52759.21053571429
Bihar,Sambhal,2635408.68,56,47060.86928571429
Bihar,Sangli-Miraj & Kupwad,4769075.03,101,47218.56465346535
Bihar,Sasaram,6519367.78,84,77611.5211904762
Bihar,Satara,4427286.91,85,52085.72835294118
Bihar,Satna,598838.4,10,59883.840000000004
Bihar,Secunderabad,2998625.85,71,42234.166901408455
Bihar,Serampore,2262392.64,74,30572.873513513514
Bihar,Shahjahanpur,3208090.2,65,49355.233846153846
Bihar,Shimla,3377657.18,63,53613.606031746036
Bihar,Shimoga,2874880.34,60,47914.67233333333
Bihar,Shivpuri,1276106.85,37,34489.37432432433
Bihar,Sikar,2258470.3,40,56461.75749999999
Bihar,Silchar,3432984.96,51,67313.4305882353
Bihar,Siliguri,4412472.7299999995,108,40856.22898148148
Bihar,Singrauli,6978775.05,108,64618.2875
Bihar,Sirsa,3455925.5,62,55740.73387096774
Bihar,Siwan,3907114.88,73,53522.12164383561
Bihar,Solapur,2874574.2800000003,64,44915.223125000004
Bihar,Sonipat,3105788.71,88,35293.05352272727
Bihar,South Dumdum,492437.47000000003,12,41036.45583333333
Bihar,Sri Ganganagar,3886201.2800000003,73,53235.63397260274
Bihar,Srikakulam,2353342.43,53,44402.68735849057
Bihar,Srinagar,2592029.17,55,47127.80309090909
Bihar,Sultan Pur Majra,4322774.04,78,55420.18
Bihar,Surat,2533945.6,44,57589.67272727273
Bihar,Surendranagar Dudhrej,2318101.97,36,64391.721388888895
Bihar,Suryapet,5705560.399999999,122,46766.88852459016
Bihar,Tadepalligudem,1543022.83,39,39564.687948717954
Bihar,Tadipatri,1070006.23,40,26750.155749999998
Bihar,Tenali,3263493.4,67,48708.85671641791
Bihar,Tezpur,5006444.88,96,52150.4675
Bihar,Thane,1891728.41,34,55639.07088235294
Bihar,Thanjavur,1360423.0,34,40012.44117647059
Bihar,Thiruvananthapuram,1908863.82,47,40614.12382978723
Bihar,Thoothukudi,4890266.84,74,66084.68702702703
Bihar,Thrissur,2179413.43,60,36323.55716666667
Bihar,Tinsukia,3149346.97,63,49989.63444444445
Bihar,Tiruchirappalli,2868979.63,69,41579.41492753623
Bihar,Tirunelveli,2567438.38,56,45847.11392857142
Bihar,Tirupati,4889582.16,121,40409.76991735537
Bihar,Tiruppur,3766584.7399999998,77,48916.684935064935
Bihar,Tiruvottiyur,1349152.07,37,36463.56945945946
Bihar,Tumkur,2143011.59,45,47622.47977777777
Bihar,Udaipur,6328092.28,103,61437.789126213596
Bihar,Udupi,520900.08999999997,20,26045.0045
Bihar,Ujjain,4433882.21,82,54071.73426829268
Bihar,Ulhasnagar,2447566.07,52,47068.57826923077
Bihar,Uluberia,1175655.15,43,27340.81744186046
Bihar,Unnao,2779117.17,50,55582.3434
Bihar,Vadodara,2412630.2199999997,52,46396.73499999999
Bihar,Varanasi,5027632.57,92,54648.180108695655
Bihar,Vasai-Virar,2696566.14,45,59923.692
Bihar,Vellore,2856641.02,57,50116.509122807016
Bihar,Vijayanagaram,5319241.6,115,46254.27478260869
Bihar,Vijayawada,2950291.16,64,46098.299375
Bihar,Visakhapatnam,5114349.21,102,50140.678529411765
Bihar,Warangal,4213836.26,73,57723.784383561644
Bihar,Yamunanagar,4423383.8,91,48608.613186813185
Delhi,Adoni,2777194.8,40,69429.87
Delhi,Ahmednagar,1065703.4000000001,19,56089.65263157895
Delhi,Aizawl,1445977.73,18,80332.09611111111
Delhi,Ajmer,1616366.6099999999,14,115454.75785714285
Delhi,Akola,606389.4500000001,9,67376.60555555556
Delhi,Alappuzha,422337.14,15,28155.809333333335
Delhi,Allahabad,1311519.54,30,43717.318
Delhi,Alwar,515618.1,18,28645.449999999997
Delhi,Ambala,1210671.23,27,44839.67518518519
Delhi,Ambarnath,793035.7,11,72094.15454545454
Delhi,Ambattur,250055.19999999998,10,25005.519999999997
Delhi,Amravati,1345794.45,20,67289.7225
Delhi,Amritsar,757063.26,17,44533.132941176475
Delhi,Anand,2182447.53,36,60623.542499999996
Delhi,Anantapuram,1225378.44,13,94259.87999999999
Delhi,Arrah,414833.37,10,41483.337
Delhi,Asansol,1876901.78,19,98784.30421052632
Delhi,Aurangabad,3881816.86,61,63636.34196721311
Delhi,Ballia,837190.58,11,76108.23454545454
Delhi,Bally,1357723.82,11,123429.43818181819
Delhi,Bangalore,227208.81,9,25245.423333333332
Delhi,Barasat,1120812.6600000001,15,74720.84400000001
Delhi,Bardhaman,626844.51,9,69649.39
Delhi,Bathinda,406516.08,10,40651.608
Delhi,Begusarai,288737.17,9,32081.907777777775
Delhi,Belgaum,842343.44,26,32397.824615384612
Delhi,Berhampore,913575.97,22,41526.18045454545
Delhi,Berhampur,1613149.48,24,67214.56166666666
Delhi,Bettiah,328634.12,11,29875.82909090909
Delhi,Bhagalpur,867679.06,11,78879.91454545455
Delhi,Bharatpur,135017.88999999998,9,15001.987777777777
Delhi,Bhimavaram,648485.47,21,30880.260476190473
Delhi,Bhind,1377071.39,37,37218.145675675674
Delhi,Bhiwandi,2570292.84,30,85676.428
Delhi,Bhiwani,607292.18,23,26404.00782608696
Delhi,Bhopal,740825.17,7,105832.16714285714
Delhi,Bhusawal,2851371.32,26,109668.12769230768
Delhi,Bihar Sharif,590241.26,8,73780.1575
Delhi,Bijapur,818541.9,12,68211.825
Delhi,Bikaner,469729.09,13,36133.00692307692
Delhi,Bokaro,898283.33,26,34549.358846153846
Delhi,Bongaigaon,883584.1299999999,12,73632.01083333332
Delhi,Bulandshahr,2356702.49,33,71415.22696969697
Delhi,Buxar,269801.35,10,26980.135
Delhi,Chapra,1790524.43,35,51157.84085714285
Delhi,Chittoor,1161874.14,22,52812.46090909091
Delhi,Cuttack,851397.77,17,50082.221764705886
Delhi,Danapur,886616.01,22,40300.72772727273
Delhi,Davanagere,439681.21,11,39971.019090909096
Delhi,Dehradun,250712.88,12,20892.74
Delhi,Delhi,52358.32,5,10471.664
Delhi,Deoghar,463117.25,15,30874.483333333334
Delhi,Dewas,1311565.6199999999,12,109297.135
Delhi,Dharmavaram,797425.8999999999,11,72493.26363636363
Delhi,Eluru,110950.23,6,18491.704999999998
Delhi,Etawah,1619232.1099999999,18,89957.33944444444
Delhi,Faridabad,914924.55,13,70378.81153846154
Delhi,Firozabad,1587250.45,24,66135.43541666666
Delhi,Gandhidham,925350.02,16,57834.37625
Delhi,Gandhinagar,200492.86,8,25061.6075
Delhi,Gangtok,1881576.58,38,49515.17315789474
Delhi,Giridih,1041644.67,23,45288.89869565218
Delhi,Gopalpur,255411.33000000002,15,17027.422000000002
Delhi,Gorakhpur,1622689.01,21,77270.90523809523
Delhi,Gudivada,225424.88,7,32203.554285714286
Delhi,Guna,477028.32,13,36694.486153846156
Delhi,Guntakal,805133.44,22,36596.97454545454
Delhi,Gurgaon,1243820.81,20,62191.0405
Delhi,Guwahati,1888357.1600000001,25,75534.28640000001
Delhi,Gwalior,1443028.06,14,103073.43285714286
Delhi,Hajipur,922023.04,19,48527.52842105264
Delhi,Hazaribagh,643150.09,10,64315.009
Delhi,Hospet,869934.54,11,79084.95818181819
Delhi,Hosur,459479.96,11,41770.90545454546
Delhi,Howrah,324010.3,8,40501.2875
Delhi,Hubli–Dharwad,1405330.78,24,58555.449166666665
Delhi,Hyderabad,491586.08,10,49158.608
Delhi,Imphal,2891211.93,52,55600.229423076926
Delhi,Indore,480197.06,9,53355.22888888889
Delhi,Jaipur,349265.93,7,49895.13285714285
Delhi,Jalandhar,538685.74,13,41437.36461538461
Delhi,Jalgaon,294181.13,10,29418.113
Delhi,Jalna,582965.31,9,64773.92333333334
Delhi,Jamnagar,289632.96,12,24136.08
Delhi,Jamshedpur,975298.59,12,81274.88249999999
Delhi,Jaunpur,225049.25,11,20459.022727272728
Delhi,Jorhat,503911.95999999996,7,71987.42285714285
Delhi,Junagadh,588207.0,8,73525.875
Delhi,Kakinada,708226.35,7,101175.19285714286
Delhi,Kamarhati,994433.06,7,142061.86571428573
Delhi,Kanpur,1185402.2,31,38238.78064516129
Delhi,Karaikudi,1142262.92,24,47594.28833333333
Delhi,Karawal Nagar,1298208.73,27,48081.804814814815
Delhi,Karimnagar,148412.76,9,16490.306666666667
Delhi,Kavali,874220.36,18,48567.79777777778
Delhi,Khammam,73259.99,10,7325.999000000001
Delhi,Kharagpur,1689554.62,34,49692.782941176476
Delhi,Khora ,674366.1900000001,16,42147.886875000004
Delhi,Kirari Suleman Nagar,969543.1500000001,10,96954.31500000002
Delhi,Kishanganj,1531679.94,13,117821.53384615385
Delhi,Kolkata,1953791.3900000001,26,75145.8226923077
Delhi,Kota,556078.01,7,79439.71571428572
Delhi,Kottayam,506486.08,10,50648.608
Delhi,Kulti,731565.99,11,66505.99909090908
Delhi,Kurnool,453859.04,15,30257.269333333334
Delhi,Latur,966773.04,20,48338.652
Delhi,Ludhiana,333967.76,10,33396.776
Delhi,Machilipatnam,456038.51,9,50670.945555555554
Delhi,Madanapalle,738489.3,8,92311.1625
Delhi,Madurai,2099881.96,33,63632.78666666667
Delhi,Mahbubnagar,948110.97,13,72931.61307692308
Delhi,Maheshtala,433511.2,12,36125.933333333334
Delhi,Malda,884066.57,13,68005.12076923077
Delhi,Mangalore,1571027.84,24,65459.49333333334
Delhi,Mango,367178.45,7,52454.06428571429
Delhi,Mathura,1263706.34,11,114882.39454545455
Delhi,Medininagar,77187.1,4,19296.775
Delhi,Meerut,1856589.17,41,45282.66268292683
Delhi,Mehsana,2270678.12,39,58222.5158974359
Delhi,Miryalaguda,661516.93,11,60137.90272727273
Delhi,Mirzapur,529808.52,9,58867.613333333335
Delhi,Moradabad,1428704.68,27,52914.98814814814
Delhi,Morena,407782.02,7,58254.57428571429
Delhi,Motihari,553458.48,17,32556.381176470586
Delhi,Muzaffarnagar,361795.75,9,40199.52777777778
Delhi,Mysore,574862.84,19,30255.93894736842
Delhi,Nadiad,1540903.6900000002,27,57070.507037037045
Delhi,Naihati,692468.64,17,40733.449411764705
Delhi,Nandyal,809378.14,30,26979.271333333334
Delhi,Nangloi Jat,1631760.07,21,77702.86047619049
Delhi,Navi Mumbai,74372.26,4,18593.065
Delhi,Nellore,334655.19,7,47807.88428571429
Delhi,Nizamabad,1461348.95,9,162372.10555555555
Delhi,North Dumdum,310010.68,7,44287.24
Delhi,Ongole,1914497.72,42,45583.27904761905
Delhi,Orai,1501374.97,15,100091.66466666666
Delhi,Ozhukarai,1292149.53,11,117468.1390909091
Delhi,Pallavaram,253219.53999999998,8,31652.442499999997
Delhi,Panihati,1018406.54,9,113156.28222222223
Delhi,Panvel,102730.88,8,12841.36
Delhi,Parbhani,548442.33,12,45703.5275
Delhi,Patna,1062315.34,23,46187.62347826087
Delhi,Phagwara,875464.98,22,39793.862727272724
Delhi,Proddatur,407583.11,4,101895.7775
Delhi,Pudukkottai,245441.19999999998,10,24544.12
Delhi,Pune,497755.79000000004,11,45250.52636363637
Delhi,Purnia,539848.16,15,35989.87733333334
Delhi,Raichur,1306245.39,16,81640.336875
Delhi,Raipur,869347.74,20,43467.387
Delhi,Ramgarh,425883.69999999995,11,38716.7
Delhi,Ranchi,225730.72,11,20520.974545454545
Delhi,Raurkela Industrial Township,246272.62,9,27363.624444444446
Delhi,Rewa,804956.08,22,36588.91272727273
Delhi,Rourkela,131789.36,9,14643.26222222222
Delhi,Saharanpur,209943.59000000003,10,20994.359000000004
Delhi,Salem,3224496.33,23,140195.49260869567
Delhi,Sangli-Miraj & Kupwad,145194.66,7,20742.094285714287
Delhi,Sasaram,711280.29,15,47418.686
Delhi,Satna,165846.0,9,18427.333333333332
Delhi,Serampore,700706.6799999999,11,63700.60727272727
Delhi,Shahjahanpur,540755.7,19,28460.826315789473
Delhi,Shimla,1145034.47,30,38167.81566666667
Delhi,Shimoga,2838636.18,56,50689.93178571429
Delhi,Shivpuri,793859.72,13,61066.13230769231
Delhi,Sikar,1081686.23,24,45070.25958333333
Delhi,Siliguri,1376102.29,14,98293.02071428571
Delhi,Singrauli,1817484.25,32,56796.3828125
Delhi,Siwan,1659799.0,35,47422.828571428574
Delhi,Solapur,1271972.33,19,66945.91210526317
Delhi,Sonipat,248402.65999999997,7,35486.09428571428
Delhi,South Dumdum,155696.82,10,15569.682
Delhi,Sri Ganganagar,1073861.7999999998,9,119317.97777777776
Delhi,Srikakulam,716695.1,17,42158.535294117646
Delhi,Srinagar,2267541.54,31,73146.50129032259
Delhi,Sultan Pur Majra,1425993.5,24,59416.395833333336
Delhi,Surendranagar Dudhrej,860292.19,20,43014.6095
Delhi,Suryapet,1267632.17,22,57619.64409090909
Delhi,Tadipatri,794972.32,9,88330.25777777778
Delhi,Tenali,2254741.19,38,59335.29447368421
Delhi,Thanjavur,1167373.63,29,40254.26310344827
Delhi,Thrissur,55117.78,4,13779.445
Delhi,Tinsukia,549324.0700000001,13,42255.697692307695
Delhi,Tiruchirappalli,1114331.33,13,85717.79461538463
Delhi,Tirunelveli,209650.54,5,41930.108
Delhi,Tirupati,1104801.51,14,78914.39357142858
Delhi,Tiruppur,680261.33,16,42516.333125
Delhi,Tiruvottiyur,477388.75,8,59673.59375
Delhi,Tumkur,638967.45,11,58087.95
Delhi,Ujjain,2051090.1600000001,41,50026.589268292686
Delhi,Uluberia,1005880.74,16,62867.54625
Delhi,Unnao,621708.13,18,34539.34055555556
Delhi,Vadodara,1670097.41,26,64234.51576923077
Delhi,Vasai-Virar,838581.41,21,39932.4480952381
Delhi,Vellore,189001.45,13,14538.573076923078
Delhi,Vijayanagaram,2136525.85,30,71217.52833333334
Delhi,Vijayawada,163127.58,9,18125.286666666667
Delhi,Visakhapatnam,3358505.02,39,86115.51333333334
Gujarat,Adoni,1185207.3699999999,30,39506.91233333333
Gujarat,Agartala,3425378.83,53,64629.78924528302
