customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Customer_Segment,CLV_Estimated
1,57,10,204602.30000000002,3,3,1,331,7,Needs Attention,306903.45000000007
2,48,9,317834.87,4,2,2,422,8,Potential Loyalist,476752.305
3,28,7,873418.76,4,1,5,415,10,Potential Loyalist,1310128.1400000001
4,161,13,306883.98,1,4,2,142,7,Needs Attention,460325.97
5,40,10,481879.07,4,3,3,433,10,Potential Loyalist,722818.605
6,13,8,588668.53,5,2,4,524,11,Loyal Customers,883002.795
7,41,8,278360.5,4,2,2,422,8,Potential Loyalist,417540.75
8,39,9,157563.78,4,2,1,421,7,Needs Attention,236345.66999999998
9,204,10,339800.04,1,3,2,132,6,Needs Attention,509700.06000000006
10,70,12,975298.59,3,4,5,345,12,Loyal Customers,1462947.8849999998
11,82,9,175942.5,3,2,1,321,6,Needs Attention,263913.75
12,165,11,220055.55,1,3,1,131,5,At Risk,330083.32499999995
13,60,7,146844.11000000002,3,1,1,311,5,Lost,220266.16500000004
14,18,8,143853.73,5,2,1,521,8,Potential Loyalist,215780.59500000003
15,298,4,223232.79,1,1,1,111,3,Lost,334849.185
16,38,11,333433.64,4,3,2,432,9,Potential Loyalist,500150.46
17,43,14,229607.33000000002,4,5,1,451,10,Potential Loyalist,344410.995
18,1,9,620525.41,5,2,4,524,11,Loyal Customers,930788.115
19,17,8,525216.54,5,2,3,523,10,Potential Loyalist,787824.81
20,122,5,37655.78,2,1,1,211,4,Lost,56483.67
21,26,9,423823.15,5,2,3,523,10,Potential Loyalist,635734.7250000001
22,90,8,510162.06,2,2,3,223,7,Needs Attention,765243.09
23,73,13,466757.51,3,4,3,343,10,Potential Loyalist,700136.265
24,45,12,708972.7000000001,4,4,4,444,12,Loyal Customers,1063459.05
25,32,7,691011.48,4,1,4,414,9,Potential Loyalist,1036517.22
26,48,15,1173986.35,4,5,5,455,14,Champions,1760979.5250000001
27,26,17,700172.81,5,5,4,554,14,Champions,1050259.215
28,10,14,422824.34,5,5,3,553,13,Loyal Customers,634236.51
29,33,10,564677.11,4,3,4,434,11,Loyal Customers,847015.665
30,54,13,362369.15,3,4,2,342,9,Potential Loyalist,543553.7250000001
31,14,9,460783.77,5,2,3,523,10,Potential Loyalist,691175.655
32,201,13,411753.34,1,4,3,143,8,Potential Loyalist,617630.01
33,48,13,175080.98,4,4,1,441,9,Potential Loyalist,262621.47000000003
34,9,20,993293.18,5,5,5,555,15,Champions,1489939.77
35,80,16,1191291.65,3,5,5,355,13,Loyal Customers,1786937.4749999999
36,51,19,848513.01,4,5,5,455,14,Champions,1272769.5150000001
37,152,8,73441.45999999999,2,2,1,221,5,Lost,110162.18999999999
38,79,7,495982.71,3,1,3,313,7,Needs Attention,743974.065
39,5,13,1004679.88,5,4,5,545,14,Champions,1507019.8200000003
40,107,16,402027.74,2,5,3,253,10,Potential Loyalist,603041.61
41,69,7,373110.37,3,1,2,312,6,Needs Attention,559665.5549999999
42,58,9,274498.64,3,2,2,322,7,Needs Attention,411747.96
43,253,10,210709.11000000002,1,3,1,131,5,At Risk,316063.665
44,132,9,991936.22,2,2,5,225,9,Potential Loyalist,1487904.33
45,50,9,342579.43,4,2,2,422,8,Potential Loyalist,513869.1450000001
46,59,11,1312593.54,3,3,5,335,11,Loyal Customers,1968890.31
47,72,9,1044622.5,3,2,5,325,10,Potential Loyalist,1566933.75
48,32,12,1326077.46,4,4,5,445,13,Loyal Customers,1989116.19
49,66,12,440997.31,3,4,3,343,10,Potential Loyalist,661495.965
50,499,6,160000.87,1,1,1,111,3,Lost,240001.305
51,30,10,368963.45,4,3,2,432,9,Potential Loyalist,553445.175
52,60,4,298673.64999999997,3,1,2,312,6,Needs Attention,448010.475
53,77,7,62687.83,3,1,1,311,5,Lost,94031.74500000001
54,51,14,521967.77,4,5,3,453,12,Loyal Customers,782951.655
55,214,5,265291.99,1,1,2,112,4,Lost,397937.985
56,398,7,176363.1,1,1,1,111,3,Lost,264544.65
57,31,13,518672.70999999996,4,4,3,443,11,Loyal Customers,778009.065
58,318,8,212580.63,1,2,1,121,4,Lost,318870.945
59,392,5,598286.48,1,1,4,114,6,Needs Attention,897429.72
60,32,10,230355.29,4,3,1,431,8,Potential Loyalist,345532.93500000006
61,34,12,565682.16,4,4,4,444,12,Loyal Customers,848523.24
62,55,7,115059.23,3,1,1,311,5,Lost,172588.84500000003
63,109,13,557294.7,2,4,4,244,10,Potential Loyalist,835942.0499999999
64,16,10,316775.45,5,3,2,532,10,Potential Loyalist,475163.17500000005
65,76,8,256036.27,3,2,2,322,7,Needs Attention,384054.40499999997
66,246,3,197905.24000000002,1,1,1,111,3,Lost,296857.8600000001
67,430,7,154946.61,1,1,1,111,3,Lost,232419.91499999998
68,25,8,155795.55,5,2,1,521,8,Potential Loyalist,233693.32499999998
69,96,10,688198.26,2,3,4,234,9,Potential Loyalist,1032297.39
70,269,5,146064.94,1,1,1,111,3,Lost,219097.41
71,85,10,478804.96,2,3,3,233,8,Potential Loyalist,718207.44
72,67,10,274406.76,3,3,2,332,8,Potential Loyalist,411610.14
73,41,10,788381.68,4,3,5,435,12,Loyal Customers,1182572.52
74,35,12,500658.17,4,4,3,443,11,Loyal Customers,750987.2550000001
75,27,9,706572.17,5,2,4,524,11,Loyal Customers,1059858.2550000001
76,202,8,211022.96000000002,1,2,1,121,4,Lost,316534.44000000006
77,49,9,369451.05000000005,4,2,2,422,8,Potential Loyalist,554176.5750000001
78,42,10,699383.39,4,3,4,434,11,Loyal Customers,1049075.0850000002
79,12,15,907324.52,5,5,5,555,15,Champions,1360986.78
80,81,7,810974.32,3,1,5,315,9,Potential Loyalist,1216461.48
81,17,12,689536.5399999999,5,4,4,544,13,Loyal Customers,1034304.8099999998
82,77,15,663698.1799999999,3,5,4,354,12,Loyal Customers,995547.2699999999
83,30,8,204782.6,4,2,1,421,7,Needs Attention,307173.9
84,37,14,452897.82999999996,4,5,3,453,12,Loyal Customers,679346.7449999999
85,52,10,577928.24,4,3,4,434,11,Loyal Customers,866892.36
86,114,12,374196.83999999997,2,4,2,242,8,Potential Loyalist,561295.26
87,66,11,361689.5,3,3,2,332,8,Potential Loyalist,542534.2500000001
88,122,12,686168.04,2,4,4,244,10,Potential Loyalist,1029252.06
89,252,9,628336.59,1,2,4,124,7,Needs Attention,942504.885
90,30,6,138083.11,4,1,1,411,6,Needs Attention,207124.66499999998
91,19,9,383083.17000000004,5,2,3,523,10,Potential Loyalist,574624.7550000001
92,28,9,450071.5,4,2,3,423,9,Potential Loyalist,675107.25
93,48,8,127526.86,4,2,1,421,7,Needs Attention,191290.29
94,267,15,938121.65,1,5,5,155,11,Loyal Customers,1407182.475
95,52,6,215542.69,4,1,1,411,6,Needs Attention,323314.03500000003
96,137,2,131254.38,2,1,1,211,4,Lost,196881.57
97,61,11,454567.6,3,3,3,333,9,Potential Loyalist,681851.3999999999
98,129,10,799252.9500000001,2,3,5,235,10,Potential Loyalist,1198879.4250000003
99,43,11,477969.85,4,3,3,433,10,Potential Loyalist,716954.7749999999
100,101,14,495518.22,2,5,3,253,10,Potential Loyalist,743277.33
101,28,8,388991.56,4,2,3,423,9,Potential Loyalist,583487.34
102,24,6,81246.25,5,1,1,511,7,Needs Attention,121869.375
103,4,12,556993.05,5,4,4,544,13,Loyal Customers,835489.5750000001
104,31,8,72829.12,4,2,1,421,7,Needs Attention,109243.68
105,6,6,366159.76,5,1,2,512,8,Potential Loyalist,549239.64
106,454,7,1280724.97,1,1,5,115,7,Needs Attention,1921087.455
107,18,14,845768.85,5,5,5,555,15,Champions,1268653.275
108,127,13,1115343.7,2,4,5,245,11,Loyal Customers,1673015.5499999998
109,51,12,608519.21,4,4,4,444,12,Loyal Customers,912778.815
110,30,9,448996.65,4,2,3,423,9,Potential Loyalist,673494.9750000001
111,170,11,730014.4299999999,1,3,4,134,8,Potential Loyalist,1095021.645
112,515,6,230301.06999999998,1,1,1,111,3,Lost,345451.605
113,74,12,666927.95,3,4,4,344,11,Loyal Customers,1000391.9249999999
114,25,19,900713.77,5,5,5,555,15,Champions,1351070.655
115,228,16,769948.44,1,5,5,155,11,Loyal Customers,1154922.66
116,113,8,150447.02000000002,2,2,1,221,5,Lost,225670.53000000003
117,53,18,944188.4,3,5,5,355,13,Loyal Customers,1416282.6
118,36,8,240425.09,4,2,2,422,8,Potential Loyalist,360637.635
119,98,5,264990.26,2,1,2,212,5,Lost,397485.39
120,51,10,514609.51,4,3,3,433,10,Potential Loyalist,771914.265
121,10,16,527217.47,5,5,3,553,13,Loyal Customers,790826.205
122,135,9,553638.54,2,2,4,224,8,Potential Loyalist,830457.81
123,72,10,418432.67000000004,3,3,3,333,9,Potential Loyalist,627649.0050000001
124,103,12,192864.98,2,4,1,241,7,Needs Attention,289297.47000000003
125,21,12,352644.21,5,4,2,542,11,Loyal Customers,528966.3150000001
126,21,11,940275.85,5,3,5,535,13,Loyal Customers,1410413.775
127,80,7,75052.64,3,1,1,311,5,Lost,112578.95999999999
128,73,16,448150.63,3,5,3,353,11,Loyal Customers,672225.9450000001
129,9,11,1038238.4900000001,5,3,5,535,13,Loyal Customers,1557357.7349999999
130,86,5,170360.68,2,1,1,211,4,Lost,255541.02
131,371,4,383313.52,1,1,3,113,5,Lost,574970.28
132,49,12,782445.78,4,4,5,445,13,Loyal Customers,1173668.67
133,71,13,471213.15,3,4,3,343,10,Potential Loyalist,706819.7250000001
134,60,10,912290.55,3,3,5,335,11,Loyal Customers,1368435.8250000002
135,41,12,339150.35000000003,4,4,2,442,10,Potential Loyalist,508725.525
136,117,16,650445.59,2,5,4,254,11,Loyal Customers,975668.385
137,287,7,436757.69,1,1,3,113,5,Lost,655136.535
138,4,15,1041606.07,5,5,5,555,15,Champions,1562409.105
139,51,9,679971.99,4,2,4,424,10,Potential Loyalist,1019957.985
140,136,8,151814.03,2,2,1,221,5,Lost,227721.04499999998
141,326,11,965305.4199999999,1,3,5,135,9,Potential Loyalist,1447958.13
142,76,10,744887.45,3,3,4,334,10,Potential Loyalist,1117331.1749999998
143,234,14,342110.47000000003,1,5,2,152,8,Potential Loyalist,513165.7050000001
144,32,12,204795.39,4,4,1,441,9,Potential Loyalist,307193.085
145,212,9,855140.52,1,2,5,125,8,Potential Loyalist,1282710.78
146,43,7,559046.38,4,1,4,414,9,Potential Loyalist,838569.5700000001
147,48,8,648900.4199999999,4,2,4,424,10,Potential Loyalist,973350.6299999999
148,86,8,174262.78,2,2,1,221,5,Lost,261394.16999999998
149,765,2,11314.539999999999,1,1,1,111,3,Lost,16971.809999999998
150,133,13,455089.73,2,4,3,243,9,Potential Loyalist,682634.595
151,43,12,1095538.72,4,4,5,445,13,Loyal Customers,1643308.08
152,53,8,501661.68,3,2,3,323,8,Potential Loyalist,752492.52
153,9,13,529786.69,5,4,3,543,12,Loyal Customers,794680.0349999999
154,118,10,492143.55000000005,2,3,3,233,8,Potential Loyalist,738215.3250000001
155,5,10,645640.6799999999,5,3,4,534,12,Loyal Customers,968461.0199999999
156,4,9,315503.69,5,2,2,522,9,Potential Loyalist,473255.53500000003
