warehouse_id,product_id,stock_quantity,reorder_level,safety_stock,last_restocked,name,category,price,cost_price,ABC_Class,is_overstock,stockout_risk,est_lost_revenue,dead_inventory
WH001,2,17,21,7,2026-05-26,Nivia Fitness Harum,Sports,2833.22,1884.32,C,False,False,0.0,False
WH001,3,27,15,19,2026-05-21,Mamaearth Fragrance Temporibus,Beauty,768.56,314.86,C,False,False,0.0,False
WH001,4,139,47,14,2026-06-10,Rupa Academic Voluptatem,Books,785.56,369.68,C,False,False,0.0,False
WH001,6,269,46,19,2026-06-24,Parker Office Nesciunt,Stationery,1480.97,979.08,C,True,False,0.0,True
WH001,8,0,49,5,2026-06-09,Bajaj Decor Debitis,Home & Kitchen,32957.31,22242.95,C,False,True,0.0,False
WH001,9,142,36,19,2026-07-08,Mattel Board Games Libero,Toys,5254.93,2500.99,C,True,False,0.0,True
WH001,10,49,21,14,2026-05-17,Decathlon Outdoor Exercitationem,Sports,12560.72,8610.2,B,False,False,0.0,False
WH001,12,183,42,5,2026-06-14,Tata Snacks Tempore,Grocery,545.61,400.34,C,True,False,0.0,True
WH001,13,4,22,16,2026-06-14,Zara Kids Iure,Fashion,5844.69,4065.82,C,False,True,0.0,False
WH001,14,69,41,17,2026-05-27,Boat Audio Atque,Electronics,32103.07,13376.7,C,False,False,0.0,False
WH001,15,1,43,9,2026-06-19,Cosco Team Sports Adipisci,Sports,6996.36,3188.05,C,False,True,0.0,False
WH001,17,71,14,17,2026-07-07,Cello Pens Repudiandae,Stationery,72.3,36.83,C,True,False,0.0,True
WH001,18,54,44,15,2026-07-15,ITC Snacks Aliquam,Grocery,86.66,47.48,C,False,False,0.0,False
WH001,19,53,32,13,2026-06-23,Rupa Academic Blanditiis,Books,156.64,104.45,C,False,False,0.0,False
WH001,20,9,44,6,2026-07-12,Rupa Non-Fiction Quam,Books,1843.4,1344.24,C,False,False,0.0,False
WH001,21,174,13,15,2026-06-06,Penguin Children Velit,Books,313.27,132.84,C,True,False,0.0,True
WH001,22,62,23,17,2026-05-17,Penguin Academic Voluptate,Books,536.45,401.14,C,False,False,0.0,False
WH001,23,38,39,7,2026-05-20,Mattel Action Figures Consequuntur,Toys,7505.84,5119.02,C,False,False,0.0,False
WH001,24,266,39,6,2026-06-29,Yonex Outdoor Qui,Sports,11863.72,6657.24,B,True,False,0.0,False
WH001,25,394,40,12,2026-05-26,Classmate Office Ullam,Stationery,1260.37,646.57,C,True,False,0.0,True
WH001,26,156,24,11,2026-06-09,IKEA Decor Ullam,Home & Kitchen,4670.78,2827.55,C,True,False,0.0,True
WH001,27,112,11,11,2026-05-18,Oxford Fiction Alias,Books,1880.92,810.29,C,True,False,0.0,True
WH001,29,46,36,10,2026-06-27,Decathlon Fitness Quas,Sports,868.45,477.98,C,False,False,0.0,False
WH001,30,296,16,11,2026-06-18,Rupa Children Architecto,Books,1930.81,1176.46,C,True,False,0.0,True
WH001,31,47,47,10,2026-05-19,Cosco Fitness Quas,Sports,17158.39,11387.85,B,False,False,0.0,False
WH001,32,73,41,7,2026-07-09,Arihant Children Quod,Books,491.19,350.82,C,False,False,0.0,False
