state,total_revenue,order_count,aov,population,literacy_rate,per_capita_income,region
Bihar,1130800766.77,21934,51554.69895003191,104099452,61.8,46000,East
Delhi,187609670.56,3368,55703.58389548694,16787941,86.21,400000,North
Gujarat,672460831.8,12860,52290.888942457226,60439692,78.03,230000,West
Karnataka,665921570.04,13001,51220.79609568494,61095297,75.36,236000,South
Kerala,372782675.88,6973,53460.87421196042,33406061,94.0,220000,South
Madhya Pradesh,808484803.57,15608,51799.38515953357,72626809,69.32,105000,Central
Maharashtra,1261912238.02,23729,53180.16932951241,112374333,82.34,227000,West
Punjab,317748000.64,5984,53099.59903743315,27743338,75.84,160000,North
Rajasthan,712803070.29,13772,51757.411435521346,68548437,66.11,118000,North
Tamil Nadu,816052213.05,15451,52815.494987379454,72147030,80.09,241000,South
Telangana,365681672.2,7155,51108.54957372467,35003674,66.54,260000,South
Uttar Pradesh,2175253771.62,41624,52259.60435373823,199812341,67.68,70000,North
West Bengal,944517877.51,18541,50942.12164985707,91276115,76.26,115000,East
